#name | line_width | line_color | radius | circle_color | birth | death

invisible | 1.0 | white | 0.0001 | #bc5729 | | 
                                                                                Семён Голенин-Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Андрей Голенин-Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Фёдор Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Александр Щепа, Псков | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Дмитрий Щепин-Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                кн. Щепины-Ростовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Семён Горбатый? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Большой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Меньшой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Русан Фёдорович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Дмитрий Приимок | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Фёдор Приимков-Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Дмитрий Приимков-Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Дмитрий Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Фёдор Дмитриевич Гвоздь | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                       #Гвоздевы-Ростовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                       #Василий Волк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Семён Большой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Андрей Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Борис Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Григорий Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Семён Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Михаил Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Лев Балымаж | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Семён Меньшой Баташ | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Фёдор Дмитриевич Бахтеяр | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Иван Немой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Михаил Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Фёдор Фёдорович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Юрий Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Константин Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Михаил Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Борис Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Константин Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Андрей Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Фёдор Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Глеб Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Василий Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Александр Ростово-Борисогл. | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Андрей Ростово-Борисоглебский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Брюхатый | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Андрей Хохолок | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Катырь | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Андрей Катырев-Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Пётр Катырев-Ростовский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                        #Михаил Катырев-Ростовский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                            #Иван Михайлович Катырев-Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Александр Хохолок | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Фёдор Александрович Горбатый | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Буйнос | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Буйносовы-Ростовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Андрей Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Дмитрий Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Дмитрий Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Фёдор Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Владимир Ростово-Борисогл. | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Дмитрий, Псков (наместник) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Пётр Бессчастный | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Андрей Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Александр Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван-Ян Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Иванович Губка | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Губкины-Ростовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Иванович Тё?мка | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Тёмкины-Ростовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Семён Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Дмитрий Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Яновы-Ростовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Пётр Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Фёдор Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Александр Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Андрей Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Василий-Варсонофий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Константин Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Иванович Долгий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Пужбольские-Ростовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Александр Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Владимир Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Константин Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Владимирович Бычок | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Александр Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Ластка | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Михаил Касатка | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Касаткины-Ростовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Лобан | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Лобановы-Ростовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван-Ян Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Фёдор Александрович Голубой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Александр? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Василий? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Пётр Голубой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Дмитрий Иванович Бритый | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Бычок 2 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Юрий Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Владимир Волох | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Василий Борисович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Глеб Василькович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Демьян Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Михаил Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Фёдор Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Роман Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Фёдор Романович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Константин Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Романович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Юрий Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Давид Юрьевич  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Роман Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Фёдор Романович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Гавриил Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Князья Белосельские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Романович  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Василий Романович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Андрей Юрьевич  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Михаил Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Князья Андожские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Андреевич  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Князья Вадбольские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Князья Чесноковы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Афанасий Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Князья Шелешпанские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Князья Угольские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Князья Калитины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Семён Васильевич  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Владимир Семёнович  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Согорские (Сугорские) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Фёдор Семёнович Дурак | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Давид Семёнович  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Князья Кемские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Князья Фуниковы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Князья Нащокины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Дмитрий Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Князья Сугорские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Константин Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Васильевич  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Князья Ухтомские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Князья Угримовы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Князья Пенкины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Князья Волковы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Князья Холуевы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Князья Карголомские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Фёдор Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Константин Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Василий Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Всеволод Константинович | 1.0 | lightgray | 4.0 | #bc5729 | 1210 | 1238
                                                Василий Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                    Василий Васильевич? | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                Константин Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | |
                                            Владимир Константинович | 1.0 | lightgray | 4.0 | #bc5729 | 1210 | 1238
                                                Андрей Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | 1210 | 1238
                                                Роман Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | 1210 | 1238
                                        Борис Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Глеб Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Юрий Всеволодович Владимирский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Всеволод Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Авраамий Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Мстислав Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярослав Всеволодович, Владимир | 1.0 | purple | 4.0 | #bc5729 | | 
                                            Фёдор Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Александр Невский | 1.0 | purple | 4.0 | #bc5729 | | 
                                                Василий, Новгород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Дмитрий, Новгород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Александр Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Иван Большой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Иван Меньшой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Андрей, Кострома | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Борис, Кострома | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Михаил Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Юрий Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                св. Даниил, Москва | 1.0 | purple | 4.0 | #bc5729 | | 
                                                    Юрий, Москва | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Иван I Калита | 1.0 | purple | 4.0 | #bc5729 | | 
                                                        Семён Гордый | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Константин Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Даниил Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Михаил Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Иван Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Семён Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Даниил Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Иван II Красный | 1.0 | purple | 4.0 | #bc5729 | | 
                                                            Дмитрий Донской | 1.0 | purple | 4.0 | #bc5729 | | 
                                                                Даниил Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Василий I Дмитриевич | 1.0 | purple | 4.0 | #bc5729 | | 
                                                                    Юрий Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Даниил Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Семён Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Василий II Тёмный | 1.0 | purple | 4.0 | #bc5729 | | 
                                                                        Юрий Большой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван III Великий | 1.0 | purple | 4.0 | #bc5729 | | 
                                                                            Иван Молодой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Дмитрий Внук | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий III | 1.0 | purple | 4.0 | #bc5729 | | 
                                                                                Иван IV Грозный | 1.0 | purple | 4.0 | #bc5729 | | 
                                                                                    Дмитрий Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Иван Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Фёдор Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Царевич Дмитрий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Юрий Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Юрьевич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Георгий? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Юрий, Дмитров | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Дмитрий Жилка, Углич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Семён, Калуга | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Андрей Старицкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Владимир Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Юрий Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Иван Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Юрий Молодой, Дмитров | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Андрей Большой, Углич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            св. Иван, Углич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Дмитрий Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Семён Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Борис Волоцкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Фёдор Волоцкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Рузский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Андрей Меньшой, Вологда | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Юрий, Звенигород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Василий Косой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Дмитрий Шемяка (Большой) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    св. Дмитрий Красный | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Семён Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Андрей Можайский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Можайский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Андрей, Стародуб | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Семён, Стародуб | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Тулуп | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Михаил Верейский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Василий Удалой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Пётр Дмитровский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Константин, Углич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Иван Малый, Звенигород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Андрей Серпуховской | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Иван Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Владимир Андреевич Храбрый | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Андрей Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Серпуховской | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Семён Боровский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Ярослав Малоярославецкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Василий Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Николай Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Юрий Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Фёдор Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Васильевич? ещё один? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Андрей Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Василий Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Василий Углицкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Фёдор Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Андрей Младший Серпуховской | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Александр Даниилович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Афанасий, Новгород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Борис, Кострома | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Андрей Ярославич, Суздаль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Юрий, Суздаль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Михаил, Суздаль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Василий, Суздаль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Александр Васильевич, Суздаль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Константин Васильевич, Суздаль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Андрей Константинович, Суздаль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Дмитрий Константинович, Суздаль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Кирдяпа Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Васильевич Кирдяпин | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Юрий Васильевич Кирдяпин | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Фёдор Юрьевич Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Василий Фёдорович Китай | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Васильевич Немой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Дмитрий Васильевич Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Дмитриевич Губка | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Пётр Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Иван Петрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Василий Юрьевич Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Василий Васильевич Бледный | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Васильевич Скопа | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Фёдор Иванович Скопин-Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Фёдорович Скопин-Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                        Михаил Васильевич Скопин-Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Михаил Васильевич Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Андрей Михайлович Честокол | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Андреевич Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Андрей Иванович Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Иванович Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Дмитрий Иванович Шуйский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Иван Иванович Пуговка | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Михайлович Плетень | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Фёдор Васильевич Кирдяпин | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Даниил Васильевич, Городец | 1.0 | lightgray | 4.0 | #bc5729 | | 1412
                                                            Семён Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Иван Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Борис Нижегородский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Дмитрий Ноготь (безудельный) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Михаил Хоробрит | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Борис Михайлович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Даниил Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ярослав Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Святослав Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Михаил Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Дмитрий Михайлович Грозные Очи | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Константин Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Сын | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Александр Михайлович Тверской | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Фёдор Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Всеволод Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Юрий Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Иван Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Андрей Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
