#name | line_width | line_color | radius | circle_color | birth | death

invisible | 1.0 | white | 0.0001 | #bc5729 | | 
                                        Ростислав, Вышгород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярополк Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Игорь Ольгович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Глеб Ольгович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Святослав Ольгович, Чернигов | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Олег, Новгород-Северский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Святослав Ольгович Рыльский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Олег Святославич? Курский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Игорь Святославич (Слово о Полку) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Владимир Игоревич, Путивль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Изяслав Владимирович? | 1.0 | lightgray | 4.0 | #bc5729 | 1186 | 1255
                                            Всеволод Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Олег Игоревич? Курский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Святослав, Перемышль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Роман, Звенигород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ростислав, Теребовль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Всеволод Буй-Тур | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Святослав, Трубчевск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Ярослав Черниговский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Юрий Муромский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Святослав Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Давыд, Пронск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Игорь, Рязань | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Владимир Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Юрий, Муром | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Давыд Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Юрий Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Ярослав Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Святослав Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Юрий Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Олег Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Ростислав Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Андрей, Елецк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Глеб Ростиславич, Рязань | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Андрей Глебович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Роман Глебович, Рязань | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Игорь Глебович, Рязань | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Роман Игоревич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ингварь Игоревич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Роман Ингваревич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Олег Ингваревич Красный | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Роман Олегович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Фёдор Романович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Ярослав Романович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Иван Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Иванович Коротопол | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Олег Иванович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Фёдор Олегович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Василий Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Иван Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                        Иван Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Пётр Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Фёдор Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Родослав Олегович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Александр Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Александрович, Рязань | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Олег (или сын Коротопола)? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Михаил Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Александр Михайлович, Пронск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Ярослав (Дмитрий) Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Владимир | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Фёдор Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Нелюб | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Андрей Сухорук | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Фёдор Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Юрий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Олег? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Василий Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Константин Романович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Ярослав Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Ингварь Ингваревич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Юрий Игоревич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Фёдор Юрьевич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Иван-Постник? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Владимир Глебович, Пронск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Глеб Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Олег Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Изяслав Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Константин Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Евстафий Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Всеволод Глебович, Пронск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Михаил Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Кюр (Кир) Михайлович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Святослав Глебович, Пронск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ростислав (Святослав)? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Мстислав? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Глеб? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярослав Глебович, Рязань | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Юрий Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                св. Михаил Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Фёдор Ярославич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                        Всеволод Ярославич | 1.0 | purple | 4.0 | #bc5729 | | 
                            Владимир Мономах | 1.0 | purple | 4.0 | #bc5729 | | 
                                Мстислав Великий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Всеволод-Гавриил | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Иван Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Владимир (Георгий) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Изяслав (Волынский?) | 1.0 | lightgray | 4.0 | #bc5729 | | 
